species_id,n_atoms,n_opt_cycles,converged,final_energy_Eh,charge,mult,method_line,basis,final_xyz
cu_cyclohexanol_O,20,45,True,-1951.268681295893,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,1.012312,3.312553,-1.261715;C,-0.035092,1.392036,0.577274;C,1.220943,0.844534,-0.072641;C,1.277290,-0.687072,0.005286;C,-0.003098,-1.323265,-0.535130;C,-1.245569,-0.755593,0.151943;C,-1.301446,0.772642,0.022055;O,-0.005668,2.851087,0.335438;H,-0.829897,3.271535,0.616163;H,0.023110,1.268205,1.660808;H,1.199183,1.126514,-1.151366;H,2.109771,1.287867,0.383207;H,2.152911,-1.045219,-0.536653;H,1.421317,-0.970445,1.052170;H,-0.071049,-1.150786,-1.614636;H,0.039576,-2.404287,-0.396219;H,-2.151790,-1.184908,-0.275739;H,-1.239870,-1.030777,1.211017;H,-2.176378,1.170049,0.543604;H,-1.396557,1.047330,-1.034867"
cu_galacturonateH_complex,10,20,True,-1944.500415650486,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,2.692903,1.270966,-0.000649;C,-0.122365,0.235363,0.000062;O,1.118564,0.236931,-0.000549;O,-0.863355,1.302178,0.000979;C,-0.854537,-1.077888,-0.000239;O,-2.230444,-0.858892,0.000050;H,-0.492354,-1.623604,0.882538;H,-0.492662,-1.622992,-0.883524;H,-2.696497,-1.703047,0.000254;H,-0.339253,2.120985,0.001078"
cu_galacturonate_anion_complex,9,17,True,-1944.153781028924,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,1.703129,1.869359,0.000300;C,0.034853,0.176828,0.000055;O,1.257472,-0.165428,-0.000185;O,-0.331662,1.379338,0.000400;C,-0.975406,-0.953987,-0.000152;O,-2.298105,-0.460158,0.000123;H,-0.760506,-1.567035,0.883398;H,-0.760690,-1.566553,-0.884082;H,-2.899084,-1.212364,0.000142"
cu_guaiacol_methoxyO,18,54,True,-2062.169790442033,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-2.716368,2.947527,0.042247;C,-0.290351,1.276386,0.063149;C,1.031091,0.878262,0.031641;C,1.293184,-0.489577,0.035233;C,0.247633,-1.402446,0.071675;C,-1.076572,-0.994706,0.099465;C,-1.353357,0.369851,0.086375;O,-0.652642,2.639946,0.043156;O,-2.594314,0.945601,0.127646;C,-3.844721,0.178459,-0.158717;H,0.128632,3.201492,0.009068;H,1.831310,1.606212,0.001203;H,2.313816,-0.843464,0.012431;H,0.492104,-2.456110,0.077423;H,-1.895299,-1.700003,0.139535;H,-4.180610,-0.283617,0.771222;H,-3.660820,-0.387558,-1.078528;H,-4.432716,1.032745,-0.374224"
cu_guaiacol_phenolicO,18,54,True,-2062.128411262091,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-0.085641,4.346723,1.282505;C,-0.136398,1.341739,-0.312084;C,1.137201,0.790745,-0.222014;C,1.256785,-0.569809,0.033170;C,0.109324,-1.341255,0.205276;C,-1.156009,-0.780874,0.139022;C,-1.300444,0.588263,-0.105233;O,-0.306052,2.686671,-0.621954;O,-2.455423,1.269462,-0.153547;C,-3.677890,0.541317,-0.016545;H,0.576979,3.061549,-0.696696;H,2.042218,1.367448,-0.372826;H,2.247271,-0.998876,0.086175;H,0.199389,-2.400509,0.406291;H,-2.016137,-1.413974,0.297265;H,-3.736023,0.057811,0.960869;H,-3.777779,-0.205442,-0.806442;H,-4.474905,1.273126,-0.109339"
cu_guaiacol_pi,18,54,True,-2062.182033289651,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,0.947128,-1.007683,2.147612;C,-0.005619,1.414574,0.009128;C,1.232056,0.797061,0.064901;C,1.318351,-0.608034,0.114335;C,0.126303,-1.386363,0.155779;C,-1.127553,-0.746955,0.108036;C,-1.197379,0.634486,0.020239;O,-0.075561,2.745662,-0.054863;O,-2.315747,1.367750,-0.050696;C,-3.591985,0.712646,-0.120865;H,-1.002556,3.024293,-0.121306;H,2.122698,1.408290,0.016426;H,2.276700,-1.091487,-0.036196;H,0.178002,-2.463386,0.058212;H,-2.026815,-1.344899,0.105453;H,-3.770081,0.127736,0.782780;H,-3.642563,0.076234,-1.005363;H,-4.325380,1.509077,-0.193611"
cu_ion,1,0,True,-1640.134600256611,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF SP,def2-TZVP,"Cu,0.000000,0.000000,0.000000"
cu_ion_cu2plus,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cu_meta_methoxyphenol_phenolicO,18,1,True,-2062.100968129885,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,0.000000,4.728000,0.000000;C,0.000000,1.398000,0.000000;C,1.210000,0.699000,0.000000;C,1.210000,-0.699000,0.000000;C,0.000000,-1.398000,0.000000;C,-1.210000,-0.699000,0.000000;C,-1.210000,0.699000,0.000000;O,0.000000,2.728000,0.000000;H,0.870000,3.100000,0.000000;O,2.480000,-1.350000,0.000000;C,3.650000,-0.590000,0.000000;H,2.155000,1.244000,0.000000;H,0.000000,-2.488000,0.000000;H,-2.155000,-1.244000,0.000000;H,-2.155000,1.244000,0.000000;H,3.650000,0.050000,0.890000;H,3.650000,0.050000,-0.890000;H,4.550000,-1.200000,0.000000"
cu_meta_methoxyphenol_pi,18,0,True,-2062.181939248162,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF Freq,def2-TZVP,"Cu,-1.494382,0.585686,2.189031;C,0.052672,1.388285,0.131498;C,1.289602,0.760662,0.084341;C,1.354878,-0.638097,0.022180;C,0.174987,-1.419107,0.026859;C,-1.043959,-0.803280,0.084442;C,-1.154975,0.624339,0.193019;O,-0.096146,2.718972,0.094035;H,0.751935,3.174766,0.004822;O,2.485920,-1.322335,-0.054304;C,3.746144,-0.640221,-0.149742;H,2.189278,1.358549,0.050722;H,0.268802,-2.492685,-0.051510;H,-1.950760,-1.389958,0.013743;H,-2.072564,1.119220,-0.114805;H,3.925222,-0.037975,0.742275;H,3.775552,-0.018585,-1.045888;H,4.492795,-1.424237,-0.220717"
cu_methanol,7,50,True,-1755.922984539419,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,2.877500,-0.622772,-0.000710;C,-0.115997,-0.008304,-0.000053;O,1.280253,0.451225,0.000095;H,1.330673,1.413215,0.001004;H,-0.765500,0.862677,-0.000462;H,-0.278261,-0.598749,-0.897820;H,-0.278669,-0.598292,0.897947"
cu_para_methoxyphenol_phenolicO,18,54,True,-2062.157861290545,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,0.318210,3.717212,-1.472853;C,0.146453,1.247472,0.132892;C,1.195304,0.363621,0.002936;C,0.926425,-1.000958,-0.008082;C,-0.392834,-1.453039,0.105873;C,-1.438323,-0.525295,0.230105;C,-1.171224,0.829988,0.240963;O,0.435962,2.657914,0.127782;H,0.382613,3.030724,1.018158;O,-0.757656,-2.743546,0.108135;C,0.246547,-3.753992,-0.001522;H,2.211626,0.725820,-0.076497;H,1.745792,-1.696620,-0.102504;H,-2.450434,-0.894378,0.320069;H,-1.975674,1.547680,0.344519;H,0.791141,-3.665250,-0.943743;H,-0.286867,-4.698821,0.025600;H,0.942940,-3.700532,0.838169"
cu_para_methoxyphenol_pi,18,54,True,-2062.171498453095,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-0.592521,-0.488314,2.294652;C,0.127750,1.278893,0.138781;C,1.309825,0.685601,-0.319641;C,1.408894,-0.681233,-0.483293;C,0.333521,-1.534503,-0.199610;C,-0.874710,-0.959714,0.256223;C,-0.976387,0.460796,0.424425;O,-0.029078,2.604460,0.302921;H,0.745007,3.098778,0.003776;O,0.496512,-2.838870,-0.449541;C,-0.319833,-3.787818,0.240275;H,2.160273,1.310298,-0.566728;H,2.323034,-1.120208,-0.860730;H,-1.781359,-1.549924,0.289810;H,-1.942150,0.920917,0.598896;H,-0.085749,-3.761968,1.310320;H,-0.047486,-4.755740,-0.169205;H,-1.385542,-3.621452,0.078668"
cu_phenol_O,14,50,True,-1947.599449856203,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,0.253633,4.406664,1.289752;C,-0.172295,1.247409,-0.264714;C,1.097569,0.691262,-0.191678;C,1.201557,-0.679736,0.026826;C,0.057359,-1.458598,0.179813;C,-1.205295,-0.868920,0.116034;C,-1.326369,0.496526,-0.093055;O,-0.362886,2.595410,-0.563442;H,0.502526,3.005216,-0.647443;H,1.995460,1.287479,-0.313614;H,2.179305,-1.138677,0.078991;H,0.157548,-2.520139,0.358555;H,-2.095203,-1.471824,0.233346;H,-2.296612,0.971067,-0.145532"
cu_phenol_pi,14,50,True,-1947.646484271142,1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"Cu,-0.003386,-1.102979,2.120865;C,0.000208,1.511413,0.054895;C,1.213604,0.816276,0.071883;C,1.223488,-0.574833,0.071446;C,0.000364,-1.296198,0.058017;C,-1.222949,-0.574963,0.072059;C,-1.213102,0.816281,0.073057;O,0.000172,2.868980,0.126873;H,0.000114,3.291639,-0.742172;H,2.138951,1.376594,0.077607;H,2.162013,-1.111590,0.022279;H,0.000443,-2.367466,-0.109089;H,-2.161464,-1.111736,0.022586;H,-2.138457,1.376583,0.079693"
cui_guaiacol_meO_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_guaiacol_ph,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_guaiacol_ph_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_guaiacol_ph_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_guaiacol_phenolicO_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_methanol_O,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_methanol_O_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_methanol_O_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_methanol_O_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_monomer,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_monomer_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_monomer_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_monomer_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_O,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_O_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_O_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_O_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_pi,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_pi_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_pi_tzvpp,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cui_phenol_pi_tzvpp_a53,,0,False,,,,B3LYP D3BJ def2-TZVP,def2-TZVP,
cyclohexanol,19,29,True,-311.041444019796,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.079876,1.401968,0.394386;C,1.307662,0.701021,-0.166908;C,1.269872,-0.802431,0.117303;C,-0.018710,-1.439619,-0.407279;C,-1.254691,-0.729378,0.149002;C,-1.205090,0.773662,-0.139216;O,0.183457,2.783767,0.046554;H,-0.606251,3.238381,0.359970;H,0.090785,1.300027,1.490500;H,1.334770,0.877638,-1.247193;H,2.206428,1.156888,0.253834;H,2.142057,-1.285987,-0.328895;H,1.340382,-0.970513,1.197967;H,-0.031066,-1.378320,-1.501300;H,-0.047115,-2.502028,-0.152108;H,-2.165655,-1.161095,-0.272460;H,-1.305924,-0.890307,1.231797;H,-2.073437,1.274726,0.302246;H,-1.247349,0.949599,-1.219197"
galacturonate_anion,8,11,True,-303.723252272561,-1,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,-0.020440,0.188461,0.000091;O,1.200576,-0.101647,-0.000349;O,-0.581753,1.296719,0.000963;C,-0.912599,-1.090297,-0.000098;O,-2.328351,-0.825808,-0.000172;H,-0.635478,-1.676862,0.885776;H,-0.635329,-1.676801,-0.885956;H,-2.766626,-1.683763,-0.000255"
galacturonate_neutral,9,10,True,-304.285968844158,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.033481,0.028577,-0.000581;O,1.229995,-0.109396,-0.002693;O,-0.577858,1.222208,0.001716;C,-0.910962,-1.154187,0.000088;O,-2.264063,-0.755909,-0.001340;H,-0.650768,-1.748130,0.884530;H,-0.649413,-1.750361,-0.882387;H,-2.815017,-1.545385,-0.000543;H,0.124606,1.892581,0.001209"
guaiacol,17,19,True,-421.948365866302,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.061541,1.342629,-0.000002;C,1.284713,0.694819,-0.000013;C,1.335865,-0.697394,-0.000005;C,0.164699,-1.438513,0.000014;C,-1.072826,-0.793389,0.000031;C,-1.125181,0.592175,0.000023;O,0.010440,2.702758,-0.000015;O,-2.267120,1.350834,0.000044;C,-3.516047,0.680108,-0.000012;H,-0.921244,2.962426,-0.000002;H,2.186689,1.292493,-0.000030;H,2.296148,-1.195949,-0.000011;H,0.200056,-2.519724,0.000020;H,-1.982569,-1.376188,0.000041;H,-3.628729,0.057821,0.892286;H,-3.628714,0.057945,-0.892398;H,-4.277720,1.456148,0.000029"
meta_methoxyphenol,17,7,True,-421.946681656249,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,-0.032283,1.415559,-0.000002;C,1.204775,0.768931,-0.000015;C,1.248462,-0.624515,-0.000014;C,0.064577,-1.363767,-0.000004;C,-1.150002,-0.697971,0.000006;C,-1.216384,0.691063,0.000011;O,-0.124255,2.779351,-0.000003;H,0.759168,3.164010,-0.000016;O,2.403439,-1.344443,-0.000027;C,3.636091,-0.647472,0.000009;H,2.112154,1.357615,-0.000026;H,0.121813,-2.443230,-0.000007;H,-2.068220,-1.271541,0.000013;H,-2.161185,1.216028,0.000022;H,3.742282,-0.023259,0.892752;H,3.742312,-0.023213,-0.892699;H,4.412256,-1.409147,0.000002"
methanol,6,7,True,-115.71268832755,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.002237,0.010780,0.018678;O,1.422586,-0.013577,-0.023416;H,1.762350,0.436878,0.756175;H,-0.394480,1.032361,0.005417;H,-0.348121,-0.504916,-0.874578;H,-0.394572,-0.511526,0.896723"
para_methoxyphenol,17,47,True,-421.944151122207,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,0.058508,1.238544,0.011580;C,1.113813,0.348687,0.140870;C,0.886145,-1.027981,0.142276;C,-0.409303,-1.516844,0.013114;C,-1.469225,-0.615994,-0.117057;C,-1.240152,0.746917,-0.118117;O,0.224263,2.599603,0.004457;H,1.159797,2.809379,0.098685;O,-0.743248,-2.841835,0.002660;C,0.298027,-3.789517,0.139300;H,2.128072,0.719514,0.242012;H,1.727995,-1.696503,0.244124;H,-2.472687,-1.008159,-0.216549;H,-2.059309,1.446418,-0.218443;H,1.019237,-3.713805,-0.681170;H,-0.177095,-4.767504,0.110609;H,0.825163,-3.670919,1.091647"
phenol,13,6,True,-307.382866914125,0,1,! B3LYP D3BJ def2-TZVP RIJCOSX def2/J TightSCF TightOpt Opt Freq,def2-TZVP,"C,-0.000001,1.389918,-0.000002;C,1.208102,0.691466,-0.000001;C,1.199656,-0.697272,-0.000001;C,0.000000,-1.400831,0.000001;C,-1.199656,-0.697273,0.000001;C,-1.208103,0.691465,-0.000002;O,-0.000002,2.724906,0.000001;H,0.000005,3.666136,0.000004;H,2.135714,1.247943,-0.000001;H,2.141514,-1.231850,-0.000001;H,-0.000000,-2.482696,0.000002;H,-2.141514,-1.231851,0.000001;H,-2.135715,1.247940,-0.000003"
