stem,species_id,terminated_normally,n_imaginary,imaginary_freqs_cm-1,zpe_Eh,enthalpy_Eh,assessment,note,disp_plus_n_imag,disp_minus_n_imag,displacement_reopt_verdict
cu_meta_methoxyphenol_phenolicO,cu_meta_methoxyphenol_phenolicO,True,4,-796.51|-149.57|-80.97|-44.36,0.13626296,-2061.95621932,MULTI_SADDLE,4 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cu_meta_methoxyphenol_phenolicO_smd,cu_meta_methoxyphenol_phenolicO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_meta_methoxyphenol_pi,cu_meta_methoxyphenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_meta_methoxyphenol_pi_freq,cu_meta_methoxyphenol_pi,True,0,,0.13830562,-2062.0327296,TRUE_MINIMUM,No imaginary frequencies,,,
cu_meta_methoxyphenol_pi_smd,cu_meta_methoxyphenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_methanol_opt_freq,cu_methanol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_methanol_smd_sp,cu_methanol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_phenolicO,cu_para_methoxyphenol_phenolicO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_phenolicO_freq,cu_para_methoxyphenol_phenolicO,True,0,,0.13746118,-2062.00911265,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_phenolicO_smd,cu_para_methoxyphenol_phenolicO,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_pi,cu_para_methoxyphenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_pi_freq,cu_para_methoxyphenol_pi,True,0,,0.13758849,-2062.02272316,TRUE_MINIMUM,No imaginary frequencies,,,
cu_para_methoxyphenol_pi_smd,cu_para_methoxyphenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_phenol_O_opt_freq,cu_phenol_O,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_phenol_O_smd_sp,cu_phenol_O,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cu_phenol_pi_opt_freq,cu_phenol_pi,True,1,-466.49,0.10430056,-1947.53396464,SADDLE_POINT,1 imaginary mode at -466.49 cm**-1,,,DISPLACEMENT_NOT_YET_RUN
cu_phenol_pi_smd_sp,cu_phenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_guaiacol_methoxyO_opt_freq_atom53,cui_guaiacol_meO_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_guaiacol_ph_tzvpp_sp,cui_guaiacol_ph_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_guaiacol_ph_tzvpp_sp_atom53,cui_guaiacol_ph_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_guaiacol_phenolicO_opt_freq,cui_guaiacol_ph,True,0,,0.13889312,-2360.05239995,TRUE_MINIMUM,No imaginary frequencies,,,
cui_guaiacol_phenolicO_opt_freq_atom53,cui_guaiacol_phenolicO_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_methanol_O_opt_freq,cui_methanol_O,True,1,-329.98,0.05300984,-2053.90881869,SADDLE_POINT,1 imaginary mode at -329.98 cm**-1,,,DISPLACEMENT_NOT_YET_RUN
cui_methanol_O_opt_freq_atom53,cui_methanol_O_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_methanol_O_tzvpp_sp,cui_methanol_O_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_methanol_O_tzvpp_sp_atom53,cui_methanol_O_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_monomer,cui_monomer,True,0,,0.00055859,-1938.21154701,TRUE_MINIMUM,No imaginary frequencies,,,
cui_monomer_opt_freq,cui_monomer,True,0,,0.0005586,-1938.21153243,TRUE_MINIMUM,No imaginary frequencies,,,
cui_monomer_opt_freq_atom53,cui_monomer_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_monomer_tzvpp_sp,cui_monomer_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_monomer_tzvpp_sp_atom53,cui_monomer_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_O_opt_freq,cui_phenol_O,True,2,-297.83|-20.39,0.10546891,-2245.56469554,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
cui_phenol_O_opt_freq_atom53,cui_phenol_O_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_O_tzvpp_sp,cui_phenol_O_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_O_tzvpp_sp_atom53,cui_phenol_O_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_pi_opt_freq,cui_phenol_pi,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_pi_opt_freq_atom53,cui_phenol_pi_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_pi_tzvpp_sp,cui_phenol_pi_tzvpp,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cui_phenol_pi_tzvpp_sp_atom53,cui_phenol_pi_tzvpp_a53,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
cyclohexanol,cyclohexanol,True,0,,0.17415187,-310.85945909,TRUE_MINIMUM,No imaginary frequencies,,,
cyclohexanol_smd,cyclohexanol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
galacturonate_anion_opt_freq,galacturonate_anion,True,0,,0.05295515,-303.66401261,TRUE_MINIMUM,No imaginary frequencies,,,
galacturonate_anion_smd_sp,galacturonate_anion,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
galacturonate_neutral_opt_freq,galacturonate_neutral,True,0,,0.06636202,-304.21303076,TRUE_MINIMUM,No imaginary frequencies,,,
galacturonate_neutral_smd_sp,galacturonate_neutral,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
guaiacol_opt_freq,guaiacol,True,0,,0.13702671,-421.80237118,TRUE_MINIMUM,No imaginary frequencies,,,
guaiacol_smd_sp,guaiacol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
meta_methoxyphenol,meta_methoxyphenol,True,0,,0.13667295,-421.8009682,TRUE_MINIMUM,No imaginary frequencies,,,
meta_methoxyphenol_smd,meta_methoxyphenol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
methanol_opt_freq,methanol,True,0,,0.05097957,-115.65740735,TRUE_MINIMUM,No imaginary frequencies,,,
methanol_smd_sp,methanol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
para_methoxyphenol,para_methoxyphenol,True,0,,0.13658927,-421.79847539,TRUE_MINIMUM,No imaginary frequencies,,,
para_methoxyphenol_smd,para_methoxyphenol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
phenol_opt_freq,phenol,True,2,-1246.22|-1176.54,0.10150777,-307.27529025,MULTI_SADDLE,2 imaginary modes,,,DISPLACEMENT_NOT_YET_RUN
phenol_smd_sp,phenol,True,0,,,,TRUE_MINIMUM,No imaginary frequencies,,,
